ID	Title	Number of novels	Author	Date	Publisher	Series
1176962841	Bestsellerautorin Chantelle Shaw - italienisches Glück : eBundle	1			CORA Verlag	?
1077915772	Bestsellerautorin Erica Spindler 1 : eBundle	1			MIRA Taschenbuch	?
1082427667	Bestsellerautorin Erica Spindler 2 : eBundle	1			MIRA Taschenbuch	?
1177030004	Bestsellerautorin Jacqueline Baird - Verführung auf Italienisch : eBundle	1			CORA Verlag	?
1176504541	Bestsellerautorin Lynne Graham - griechische Leidenschaft : eBundle	1			CORA Verlag	?
1176650084	Bestsellerautorin Lynne Graham - italienische Sehnsucht : eBundle	1			CORA Verlag	?
1176500678	Bestsellerautorin Lynne Graham - spanisches Verlangen : eBundle	1			CORA Verlag	?
1176511548	Bestsellerautorin Maya Banks 1 : eBundle	1			CORA Verlag	?
1176617524	Bestsellerautorin Maya Banks 2 : eBundle	1			CORA Verlag	?
117662010X	Bestsellerautorin Penny Jordan - 1001 Nacht	1			CORA Verlag	?
1176963090	Bestsellerautorin Penny Jordan - Verführt! : eBundle	1			CORA Verlag	?
1177025388	Bestsellerautorin Sarah Morgan - sizilianische Versuchung : eBundle	1			CORA Verlag	?
1176947583	Bestsellerautorin Sharon Kendrick - italienisches Verlangen : eBundle	1			CORA Verlag	?
1176949896	Bestsellerautorin Susan Mallery - Du, ich und das pure Glück	1			CORA Verlag	?
1176868527	Bestsellerautorin Susan Mallery - Verführt, verliebt, verheiratet	1			CORA Verlag	?
1176638858	Bestsellerautorin Susan Mallery - Verzaubert von einem Wüstenprinzen	1			CORA Verlag	?
1176516981	Bestsellerautorin Terri Brisbin : eBundle	1			CORA Verlag	?
1116718758	Bestsellerautorin: Anja Goerz : eBundle	1			books2read	?
1177026260	Bestsellerautorin: Annie West : eBundle	1			CORA Verlag	?
1116718731	Bestsellerautorin: Dagmar Hansen I : eBundle	1			books2read	?
1116718901	Bestsellerautorin: Dagmar Hansen II : eBundle	1			books2read	?
1116718863	Bestsellerautorin: Juliane Käppler : eBundle	1			books2read	?
1176875833	Betörend wie der Duft der Lilien	1			CORA Verlag	?
1176517090	Betörende Whitney	1			CORA Verlag	?
1046149164	Betrüg mich!	1			MIRA Taschenbuch	?
1176635441	Bettgeflüster	1			CORA Verlag	?
1119453054	Between the Lines: Weil du alles für mich bist	1			MIRA Taschenbuch	?
1114505005	Between the Lines: Weil du mich hältst	1			MIRA Taschenbuch	?
1099705339	Between the Lines: Wie du mich liebst	1			MIRA Taschenbuch	?
1089059655	Between the Lines: Wilde Gefühle	1			MIRA Taschenbuch	?
1176511807	Beunruhigende Gefühle	1			CORA Verlag	?
117688106X	Bevor der Sommer zu Ende ist	1			CORA Verlag	?
1177030195	Bevor der Sommer zu Ende ist	1			CORA Verlag	?
1046126431	Bevor der Tod euch scheidet	1			MIRA Taschenbuch	?
1046126865	Bewahre meinen Traum	1			MIRA Taschenbuch	?
1144625173	Bewahre meinen Traum	1			MIRA Taschenbuch	?
1136136851	Big Rock - Sieben Tage gehörst du mir!	1			MIRA Taschenbuch	?
1152079557	Big Sky - weiter Himmel, weites Land - Teil 1-3	1			MIRA Taschenbuch	?
1176500082	Big Sky - weiter Himmel, weites Land - Teil 4-6	1			MIRA Taschenbuch	?
1046141910	Big Sky Country - Das weite Land	1			MIRA Taschenbuch	?
1109062095	Big Sky River - Am reißenden Fluß	1			MIRA Taschenbuch	?
1061188280	Big Sky Secrets - Antwort des Herzens	1			MIRA Taschenbuch	?
